Type,Session,Subject,Treatment,IDinSession,Invest,Return,Sequence
1,NoMin3,5,2,1305,1,1,9
2,NoMin3,6,2,1306,0,NA,9
1,NoMin3,1,2,1301,1,1,10
1,NoMin3,2,2,1302,1,1,10
2,NoMin3,3,2,1303,1,1,10
1,NoMin3,4,2,1304,1,1,10
2,NoMin3,5,2,1305,1,1,10
2,NoMin3,6,2,1306,1,1,10
2,NoMin4,1,1,1401,0,NA,1
2,NoMin4,2,1,1402,0,NA,1
1,NoMin4,3,1,1403,1,1,1
2,NoMin4,4,1,1404,1,1,1
1,NoMin4,5,1,1405,0,NA,1
1,NoMin4,6,1,1406,0,NA,1
1,NoMin4,1,1,1401,1,0,2
1,NoMin4,2,1,1402,1,0,2
1,NoMin4,3,1,1403,1,1,2
2,NoMin4,4,1,1404,1,1,2
2,NoMin4,5,1,1405,1,0,2
2,NoMin4,6,1,1406,1,0,2
2,NoMin4,1,1,1401,1,1,3
1,NoMin4,2,1,1402,1,1,3
2,NoMin4,3,1,1403,0,NA,3
1,NoMin4,4,1,1404,1,0,3
2,NoMin4,5,1,1405,1,0,3
1,NoMin4,6,1,1406,0,NA,3
2,NoMin4,1,1,1401,0,NA,4
1,NoMin4,2,1,1402,1,0,4
2,NoMin4,3,1,1403,1,1,4
1,NoMin4,4,1,1404,1,1,4
2,NoMin4,5,1,1405,1,0,4
1,NoMin4,6,1,1406,0,NA,4
2,NoMin4,1,1,1401,0,NA,5
2,NoMin4,2,1,1402,1,1,5
1,NoMin4,3,1,1403,1,1,5
2,NoMin4,4,1,1404,1,1,5
1,NoMin4,5,1,1405,0,NA,5
1,NoMin4,6,1,1406,1,1,5
1,NoMin4,1,1,1401,1,1,6
2,NoMin4,2,1,1402,1,1,6
1,NoMin4,3,1,1403,1,1,6
2,NoMin4,4,1,1404,0,NA,6
1,NoMin4,5,1,1405,0,NA,6
2,NoMin4,6,1,1406,1,1,6
1,NoMin4,1,1,1401,1,1,7
2,NoMin4,2,1,1402,1,1,7
2,NoMin4,3,1,1403,1,1,7
1,NoMin4,4,1,1404,1,0,7
2,NoMin4,5,1,1405,1,0,7
1,NoMin4,6,1,1406,1,1,7
1,NoMin4,1,1,1401,1,0,8
1,NoMin4,2,1,1402,1,1,8
1,NoMin4,3,1,1403,1,0,8
2,NoMin4,4,1,1404,1,1,8
2,NoMin4,5,1,1405,1,0,8
2,NoMin4,6,1,1406,1,0,8
2,NoMin4,1,1,1401,1,1,9
1,NoMin4,2,1,1402,1,1,9
1,NoMin4,3,1,1403,1,1,9
1,NoMin4,4,1,1404,1,0,9
2,NoMin4,5,1,1405,1,0,9
2,NoMin4,6,1,1406,1,1,9
1,NoMin4,1,2,1401,1,1,10
2,NoMin4,2,2,1402,1,1,10
2,NoMin4,3,2,1403,1,1,10
1,NoMin4,4,2,1404,1,1,10
1,NoMin4,5,2,1405,1,1,10
2,NoMin4,6,2,1406,1,1,10
2,NoMin4,1,2,1401,1,1,11
1,NoMin4,2,2,1402,1,1,11
2,NoMin4,3,2,1403,1,1,11
2,NoMin4,4,2,1404,1,1,11
1,NoMin4,5,2,1405,1,1,11
1,NoMin4,6,2,1406,1,1,11
2,NoMin4,1,2,1401,1,1,12
2,NoMin4,2,2,1402,1,1,12
1,NoMin4,3,2,1403,1,1,12
1,NoMin4,4,2,1404,1,1,12
1,NoMin4,5,2,1405,1,1,12
2,NoMin4,6,2,1406,1,1,12
2,NoMin4,1,2,1401,1,0,13
1,NoMin4,2,2,1402,1,1,13
1,NoMin4,3,2,1403,1,1,13
1,NoMin4,4,2,1404,1,0,13
2,NoMin4,5,2,1405,1,1,13
2,NoMin4,6,2,1406,1,1,13
1,NoMin4,1,2,1401,1,1,14
1,NoMin4,2,2,1402,1,1,14
2,NoMin4,3,2,1403,1,1,14
1,NoMin4,4,2,1404,1,1,14
2,NoMin4,5,2,1405,1,1,14
2,NoMin4,6,2,1406,1,1,14
2,NoMin4,1,2,1401,1,0,15
1,NoMin4,2,2,1402,1,1,15
2,NoMin4,3,2,1403,1,1,15
2,NoMin4,4,2,1404,1,1,15
1,NoMin4,5,2,1405,1,0,15
1,NoMin4,6,2,1406,1,1,15
2,NoMin4,1,2,1401,1,1,16
1,NoMin4,2,2,1402,1,1,16
2,NoMin4,3,2,1403,1,1,16
1,NoMin4,4,2,1404,1,0,16
1,NoMin4,5,2,1405,1,1,16
2,NoMin4,6,2,1406,1,0,16
2,NoMin4,1,2,1401,1,1,17
2,NoMin4,2,2,1402,1,1,17
1,NoMin4,3,2,1403,1,1,17
1,NoMin4,4,2,1404,1,1,17
1,NoMin4,5,2,1405,1,1,17
2,NoMin4,6,2,1406,1,1,17
2,MinNo1,1,2,401,0,NA,1
2,MinNo1,2,2,402,1,1,1
1,MinNo1,3,2,403,0,NA,1
2,MinNo1,4,2,404,0,NA,1
1,MinNo1,5,2,405,1,1,1
1,MinNo1,6,2,406,0,NA,1
1,MinNo1,1,2,401,0,NA,2
2,MinNo1,2,2,402,0,NA,2
1,MinNo1,3,2,403,0,NA,2
2,MinNo1,4,2,404,1,1,2
2,MinNo1,5,2,405,0,NA,2
1,MinNo1,6,2,406,1,1,2
1,MinNo1,1,2,401,1,1,3
2,MinNo1,2,2,402,1,1,3
2,MinNo1,3,2,403,1,1,3
2,MinNo1,4,2,404,1,1,3
1,MinNo1,5,2,405,1,1,3
1,MinNo1,6,2,406,1,1,3
1,MinNo1,1,2,401,1,1,4
2,MinNo1,2,2,402,1,1,4
2,MinNo1,3,2,403,1,1,4
1,MinNo1,4,2,404,1,1,4
1,MinNo1,5,2,405,1,1,4
2,MinNo1,6,2,406,1,1,4
2,MinNo1,1,2,401,1,1,5
2,MinNo1,2,2,402,1,1,5
1,MinNo1,3,2,403,1,1,5
1,MinNo1,4,2,404,1,1,5
1,MinNo1,5,2,405,1,1,5
2,MinNo1,6,2,406,1,1,5
2,MinNo1,1,2,401,1,1,6
2,MinNo1,2,2,402,1,1,6
2,MinNo1,3,2,403,1,0,6
1,MinNo1,4,2,404,1,0,6
1,MinNo1,5,2,405,1,1,6
1,MinNo1,6,2,406,1,1,6
2,MinNo1,1,2,401,1,1,7
2,MinNo1,2,2,402,1,1,7
1,MinNo1,3,2,403,1,1,7
1,MinNo1,4,2,404,1,1,7
2,MinNo1,5,2,405,1,1,7
1,MinNo1,6,2,406,1,1,7
2,MinNo1,1,2,401,1,1,8
2,MinNo1,2,2,402,1,1,8
2,MinNo1,3,2,403,1,0,8
1,MinNo1,4,2,404,1,1,8
1,MinNo1,5,2,405,1,0,8
1,MinNo1,6,2,406,1,1,8
2,MinNo1,1,2,401,1,1,9
2,MinNo1,2,2,402,1,1,9
2,MinNo1,3,2,403,1,1,9
1,MinNo1,4,2,404,1,1,9
1,MinNo1,5,2,405,1,1,9
1,MinNo1,6,2,406,1,1,9
1,MinNo1,1,1,401,1,0,10
2,MinNo1,2,1,402,1,1,10
2,MinNo1,3,1,403,1,0,10
2,MinNo1,4,1,404,1,1,10
1,MinNo1,5,1,405,1,1,10
1,MinNo1,6,1,406,1,1,10
2,MinNo1,1,1,401,1,1,11
2,MinNo1,2,1,402,1,1,11
1,MinNo1,3,1,403,1,1,11
1,MinNo1,4,1,404,1,1,11
2,MinNo1,5,1,405,1,1,11
1,MinNo1,6,1,406,1,1,11
2,MinNo1,1,1,401,1,1,12
1,MinNo1,2,1,402,1,0,12
1,MinNo1,3,1,403,1,1,12
2,MinNo1,4,1,404,1,0,12
2,MinNo1,5,1,405,1,1,12
1,MinNo1,6,1,406,1,1,12
2,MinNo1,1,1,401,1,1,13
2,MinNo1,2,1,402,1,1,13
1,MinNo1,3,1,403,1,1,13
1,MinNo1,4,1,404,1,1,13
2,MinNo1,5,1,405,1,1,13
1,MinNo1,6,1,406,1,1,13
1,MinNo1,1,1,401,1,1,14
1,MinNo1,2,1,402,1,1,14
1,MinNo1,3,1,403,1,1,14
2,MinNo1,4,1,404,1,1,14
2,MinNo1,5,1,405,1,1,14
2,MinNo1,6,1,406,1,1,14
1,MinNo1,1,1,401,1,1,15
2,MinNo1,2,1,402,1,1,15
1,MinNo1,3,1,403,1,1,15
1,MinNo1,4,1,404,1,0,15
2,MinNo1,5,1,405,1,1,15
2,MinNo1,6,1,406,1,0,15
1,MinNo1,1,1,401,1,1,16
1,MinNo1,2,1,402,1,1,16
1,MinNo1,3,1,403,1,0,16
2,MinNo1,4,1,404,1,1,16
2,MinNo1,5,1,405,1,1,16
2,MinNo1,6,1,406,1,0,16
1,MinNo1,1,1,401,1,0,17
2,MinNo1,2,1,402,1,1,17
2,MinNo1,3,1,403,1,0,17
1,MinNo1,4,1,404,1,1,17
1,MinNo1,5,1,405,1,0,17
2,MinNo1,6,1,406,1,0,17
2,MinNo2,1,2,501,1,0,1
2,MinNo2,2,2,502,1,0,1
2,MinNo2,3,2,503,1,1,1
1,MinNo2,4,2,504,1,1,1
1,MinNo2,5,2,505,1,0,1
1,MinNo2,6,2,506,1,0,1
1,MinNo2,1,2,501,1,1,2
1,MinNo2,2,2,502,1,0,2
2,MinNo2,3,2,503,1,0,2
2,MinNo2,4,2,504,0,NA,2
1,MinNo2,5,2,505,0,NA,2
2,MinNo2,6,2,506,1,1,2
2,MinNo2,1,2,501,1,0,3
1,MinNo2,2,2,502,0,NA,3
2,MinNo2,3,2,503,0,NA,3
2,MinNo2,4,2,504,0,NA,3
1,MinNo2,5,2,505,0,NA,3
1,MinNo2,6,2,506,1,0,3
2,MinNo2,1,2,501,1,1,4
1,MinNo2,2,2,502,0,NA,4
2,MinNo2,3,2,503,0,NA,4
1,MinNo2,4,2,504,1,1,4
2,MinNo2,5,2,505,1,1,4
1,MinNo2,6,2,506,1,1,4
2,MinNo2,1,2,501,0,NA,5
1,MinNo2,2,2,502,0,NA,5
2,MinNo2,3,2,503,1,1,5
1,MinNo2,4,2,504,1,1,5
1,MinNo2,5,2,505,1,1,5
2,MinNo2,6,2,506,1,1,5
2,MinNo2,1,1,501,0,NA,6
1,MinNo2,2,1,502,0,NA,6
2,MinNo2,3,1,503,1,1,6
2,MinNo2,4,1,504,1,1,6
1,MinNo2,5,1,505,1,1,6
1,MinNo2,6,1,506,1,1,6
2,MinNo2,1,1,501,1,1,7
1,MinNo2,2,1,502,0,NA,7
1,MinNo2,3,1,503,1,1,7
1,MinNo2,4,1,504,1,1,7
2,MinNo2,5,1,505,1,1,7
2,MinNo2,6,1,506,0,NA,7
1,MinNo2,1,1,501,0,NA,8
2,MinNo2,2,1,502,1,0,8
2,MinNo2,3,1,503,1,1,8
2,MinNo2,4,1,504,0,NA,8
1,MinNo2,5,1,505,1,1,8
1,MinNo2,6,1,506,1,0,8
1,MinNo2,1,1,501,0,NA,9
1,MinNo2,2,1,502,0,NA,9
2,MinNo2,3,1,503,1,1,9
2,MinNo2,4,1,504,0,NA,9
1,MinNo2,5,1,505,1,1,9
2,MinNo2,6,1,506,0,NA,9
1,MinNo2,1,1,501,0,NA,10
1,MinNo2,2,1,502,0,NA,10
1,MinNo2,3,1,503,1,1,10
2,MinNo2,4,1,504,0,NA,10
2,MinNo2,5,1,505,1,1,10
2,MinNo2,6,1,506,0,NA,10
1,MinNo2,1,1,501,1,0,11
2,MinNo2,2,1,502,1,0,11
1,MinNo2,3,1,503,1,1,11
2,MinNo2,4,1,504,1,1,11
1,MinNo2,5,1,505,1,1,11
2,MinNo2,6,1,506,1,1,11
1,MinNo2,1,1,501,0,NA,12
2,MinNo2,2,1,502,1,0,12
2,MinNo2,3,1,503,0,NA,12
1,MinNo2,4,1,504,1,0,12
1,MinNo2,5,1,505,1,0,12
2,MinNo2,6,1,506,1,0,12
1,MinNo2,1,1,501,0,NA,13
1,MinNo2,2,1,502,0,NA,13
2,MinNo2,3,1,503,0,NA,13
1,MinNo2,4,1,504,1,1,13
2,MinNo2,5,1,505,1,1,13
2,MinNo2,6,1,506,0,NA,13
1,MinNo2,1,1,501,0,NA,14
1,MinNo2,2,1,502,0,NA,14
2,MinNo2,3,1,503,0,NA,14
2,MinNo2,4,1,504,0,NA,14
2,MinNo2,5,1,505,1,1,14
1,MinNo2,6,1,506,1,1,14
1,MinNo2,1,1,501,0,NA,15
1,MinNo2,2,1,502,0,NA,15
2,MinNo2,3,1,503,1,1,15
2,MinNo2,4,1,504,0,NA,15
1,MinNo2,5,1,505,1,1,15
2,MinNo2,6,1,506,0,NA,15
1,MinNo2,1,1,501,0,NA,16
1,MinNo2,2,1,502,0,NA,16
2,MinNo2,3,1,503,0,NA,16
2,MinNo2,4,1,504,0,NA,16
2,MinNo2,5,1,505,0,NA,16
1,MinNo2,6,1,506,0,NA,16
1,MinNo3,1,2,601,0,NA,1
1,MinNo3,2,2,602,0,NA,1
2,MinNo3,3,2,603,0,NA,1
2,MinNo3,4,2,604,0,NA,1
2,MinNo3,5,2,605,1,0,1
1,MinNo3,6,2,606,1,0,1
2,MinNo3,1,2,601,0,NA,2
2,MinNo3,2,2,602,0,NA,2
1,MinNo3,3,2,603,0,NA,2
1,MinNo3,4,2,604,0,NA,2
2,MinNo3,5,2,605,0,NA,2
1,MinNo3,6,2,606,0,NA,2
2,MinNo3,1,2,601,1,0,3
2,MinNo3,2,2,602,0,NA,3
1,MinNo3,3,2,603,0,NA,3
1,MinNo3,4,2,604,1,0,3
1,MinNo3,5,2,605,0,NA,3
2,MinNo3,6,2,606,0,NA,3
2,MinNo3,1,2,601,0,NA,4
1,MinNo3,2,2,602,0,NA,4
2,MinNo3,3,2,603,0,NA,4
1,MinNo3,4,2,604,0,NA,4
1,MinNo3,5,2,605,1,1,4
2,MinNo3,6,2,606,1,1,4
1,MinNo3,1,2,601,1,1,5
2,MinNo3,2,2,602,0,NA,5
1,MinNo3,3,2,603,0,NA,5
2,MinNo3,4,2,604,1,1,5
1,MinNo3,5,2,605,1,1,5
2,MinNo3,6,2,606,1,1,5
1,MinNo3,1,2,601,1,1,6
2,MinNo3,2,2,602,1,0,6
2,MinNo3,3,2,603,1,0,6
1,MinNo3,4,2,604,1,0,6
1,MinNo3,5,2,605,1,0,6
2,MinNo3,6,2,606,1,1,6
2,MinNo3,1,2,601,1,1,7
2,MinNo3,2,2,602,0,NA,7
1,MinNo3,3,2,603,1,1,7
1,MinNo3,4,2,604,0,NA,7
