gamma,info,pi,A,Aactive,B,session,eSubj,bad,trust,honor,triad_id
2,1,0.05,2,1,0,3,313,1,1,1,3084
2,1,0.05,0,1,1,3,314,1,1,1,3084
2,1,0.05,1,1,0,3,321,1,1,1,3085
2,1,0.05,2,1,0,3,301,1,1,1,3085
2,1,0.05,0,1,1,3,306,1,1,1,3085
2,1,0.05,1,2,0,3,316,0,0,NA,3086
2,1,0.05,2,2,0,3,308,0,0,NA,3086
2,1,0.05,0,2,1,3,318,0,0,NA,3086
2,1,0.05,1,1,0,3,310,0,1,1,3087
2,1,0.05,2,1,0,3,317,0,1,1,3087
2,1,0.05,0,1,1,3,319,0,1,1,3087
2,1,0.05,1,2,0,3,303,1,1,0,3091
2,1,0.05,2,2,0,3,310,1,1,0,3091
2,1,0.05,0,2,1,3,301,1,1,0,3091
2,1,0.05,1,2,0,3,314,1,1,1,3092
2,1,0.05,2,2,0,3,311,1,1,1,3092
2,1,0.05,0,2,1,3,317,1,1,1,3092
2,1,0.05,1,1,0,3,318,1,1,1,3093
2,1,0.05,2,1,0,3,309,1,1,1,3093
2,1,0.05,0,1,1,3,313,1,1,1,3093
2,1,0.05,1,1,0,3,319,1,0,NA,3094
2,1,0.05,2,1,0,3,316,1,0,NA,3094
2,1,0.05,0,1,1,3,308,1,0,NA,3094
2,1,0.05,1,2,0,3,320,1,1,1,3095
2,1,0.05,2,2,0,3,304,1,1,1,3095
2,1,0.05,0,2,1,3,312,1,1,1,3095
2,1,0.05,1,1,0,3,306,1,1,1,3096
2,1,0.05,2,1,0,3,321,1,1,1,3096
2,1,0.05,0,1,1,3,315,1,1,1,3096
2,1,0.05,1,2,0,3,302,1,1,1,3097
2,1,0.05,2,2,0,3,305,1,1,1,3097
2,1,0.05,0,2,1,3,307,1,1,1,3097
2,1,0.05,1,1,0,3,308,1,1,1,3101
2,1,0.05,2,1,0,3,306,1,1,1,3101
2,1,0.05,0,1,1,3,304,1,1,1,3101
2,1,0.05,1,2,0,3,307,1,0,NA,3102
2,1,0.05,2,2,0,3,319,1,0,NA,3102
2,1,0.05,0,2,1,3,311,1,0,NA,3102
2,1,0.05,1,1,0,3,315,1,1,1,3103
2,1,0.05,2,1,0,3,302,1,1,1,3103
2,1,0.05,0,1,1,3,310,1,1,1,3103
2,1,0.05,1,2,0,3,312,1,1,1,3104
2,1,0.05,2,2,0,3,318,1,1,1,3104
2,1,0.05,0,2,1,3,305,1,1,1,3104
2,1,0.05,1,2,0,3,313,1,1,1,3105
2,1,0.05,2,2,0,3,303,1,1,1,3105
2,1,0.05,0,2,1,3,309,1,1,1,3105
2,1,0.05,1,1,0,3,317,1,0,NA,3106
2,1,0.05,2,1,0,3,314,1,0,NA,3106
2,1,0.05,0,1,1,3,321,1,0,NA,3106
2,1,0.05,1,1,0,3,301,1,0,NA,3107
2,1,0.05,2,1,0,3,320,1,0,NA,3107
2,1,0.05,0,1,1,3,316,1,0,NA,3107
2,1,0.05,1,2,0,3,304,1,1,1,3111
2,1,0.05,2,2,0,3,313,1,1,1,3111
2,1,0.05,0,2,1,3,320,1,1,1,3111
2,1,0.05,1,1,0,3,310,1,1,1,3112
2,1,0.05,2,1,0,3,308,1,1,1,3112
2,1,0.05,0,1,1,3,306,1,1,1,3112
2,1,0.05,1,1,0,3,311,1,0,NA,3113
2,1,0.05,2,1,0,3,307,1,0,NA,3113
2,1,0.05,0,1,1,3,319,1,0,NA,3113
2,1,0.05,1,2,0,3,309,1,1,1,3114
2,1,0.05,2,2,0,3,312,1,1,1,3114
2,1,0.05,0,2,1,3,303,1,1,1,3114
2,1,0.05,1,2,0,3,316,1,0,NA,3115
2,1,0.05,2,2,0,3,301,1,0,NA,3115
2,1,0.05,0,2,1,3,314,1,0,NA,3115
2,1,0.05,1,2,0,3,321,1,1,1,3116
2,1,0.05,2,2,0,3,315,1,1,1,3116
2,1,0.05,0,2,1,3,302,1,1,1,3116
2,1,0.05,1,1,0,3,305,1,1,1,3117
